,endTime,artistName,trackName,msPlayed,trackId
0,2023-03-18 21:28,Eudes Alvarez,San Rafael de Mi Pueblo,16688,7A80n2HvAs1rZNNs64NN8F
1,2023-03-18 23:52,Sam Cooke,Another Saturday Night,153052,5z8DiKSG4EwxmO6gUi12rZ
2,2023-03-19 19:33,Zoom Soon Bao,Reminiscencia - Remix,2365,0
3,2023-03-19 19:34,Soledad Bravo,Violín de becho,13552,7hkyFS309jQBrwrbxGsJuH
4,2023-03-19 19:37,Soledad Bravo,Violín de becho,196288,7hkyFS309jQBrwrbxGsJuH
5,2023-03-19 19:39,Soledad Bravo,Canción para mi américa,113226,54a3QojIm00P4MXL02BZvC
6,2023-03-19 19:44,Soledad Bravo,Pajarillo Verde,59100,1ebslsQcXFPNRBLsa76qEK
7,2023-03-21 20:26,Programming Music,Programming Music for Fast Minds,17809,41F8XFf9aYq1vCMqyuLNFl
8,2023-03-21 20:26,Programming and Coding Jazz,Mellow Moods for Spring Break Getaways,7616,6OzRUo7b23kXFXHWLpigCj
9,2023-03-21 20:26,Programming and Coding Music Club,LoFi Piano Beats for Programming and Coding,4226,61liR3eWrA8BTeUnltA32e
10,2023-03-21 20:26,Programming Jazz,After Work Relaxation,4353,601ppwJ942tjJ9aDPGYwOT
11,2023-03-21 20:30,Programming and Coding Music Club,Cyberpunk Programming Music,216870,6ByYyM1C8sbKOYBsehlc3d
12,2023-03-21 20:33,Programming and Coding Music Club,Coding Life,200234,2PxElQASC4l0uhkqEwVDWG
13,2023-03-21 20:37,Programming and Coding Music Club,Focus on the Task,244466,2KAzdW2iAflGBQ0znH3EMP
14,2023-03-21 20:41,Programming and Coding Music Club,Brain Exercises,215518,0onGfVHIeZtLevNZZWcgnT
15,2023-03-21 20:45,Programming and Coding Music Club,Office Work,233730,4GOEnE8bx725DFTzmuYAuA
16,2023-03-21 20:48,Programming and Coding Music Club,Free Flow,231300,3WXj5V6DLWlVgYizyCgEyM
17,2023-03-21 20:52,Programming and Coding Music Club,A Calm Programmer,221238,6RO0GOIpYUM8xOR19QCcxj
18,2023-03-21 20:56,Programming and Coding Music Club,Slow Music,212082,7pMvjxeyq0RhJVOifP6sCH
19,2023-03-21 21:00,Programming and Coding Music Club,Concentration,262075,2x7TWNe3ZeRLH0h5cDhgC4
20,2023-03-21 21:04,Programming and Coding Music Club,After Work Relaxation,209445,5DozXHPXhzqx2ZUfR78CRg
21,2023-03-21 21:07,Programming and Coding Music Club,Secret Code,228936,5hxuVoQwizvyfuXVKLVJ2A
22,2023-03-21 21:11,Programming and Coding Music Club,Deep State of Relaxation,204329,2lCiuHNAFSzr0ZwqnnZRdP
23,2023-03-21 21:15,Programming and Coding Music Club,Eclipse,265545,6Egyxss7e6K74EBoQfdcgV
24,2023-03-21 23:45,Programming and Coding Music Club,Concentration Music,91718,2x7TWNe3ZeRLH0h5cDhgC4
25,2023-03-23 18:54,James Bay,Scars,23800,2cAybAa8GqYLhiqgrkrNUp
26,2023-03-23 18:54,X Ambassadors,Unsteady,8126,7lGKEWMXVWWTt3X71Bv44I
27,2023-03-23 18:54,Lewis Capaldi,Someone You Loved,153251,7qEHsqek33rTcFNT9PFqLf
28,2023-03-23 18:57,Lewis Capaldi,Before You Go,28129,2gMXnyrvIjhVBUZwvLZDMP
29,2023-03-23 18:57,Justin Bieber,Lonely,149189,3S8jK1mGzQi24ilFb45DAZ
30,2023-03-23 18:58,Olivia Rodrigo,drivers license,62299,5wANPM4fQCJwkGd4rN57mH
31,2023-03-23 18:59,Lewis Capaldi,Before You Go,19922,2gMXnyrvIjhVBUZwvLZDMP
32,2023-03-23 18:59,Lewis Capaldi,Forget Me,2472,3iHzKA9HlXf5wsGdsrsnSA
33,2023-03-23 19:03,Lewis Capaldi,Bruises,220492,4Of7rzpRpV1mWRbhp5rAqG
34,2023-03-23 19:04,Lewis Capaldi,Pointless,60282,44G9fSM6qI8zRoG6Qwn3eq
35,2023-03-23 19:05,Lewis Capaldi,How I'm Feeling Now,5700,5AGS8VxsLyHQOWz0ZTuwIN
36,2023-03-23 19:05,Lewis Capaldi,Hold Me While You Wait,71076,60iSKGrGazRzICtMjADNSM
37,2023-03-23 19:05,Lewis Capaldi,Forget Me,1613,3iHzKA9HlXf5wsGdsrsnSA
38,2023-03-23 19:05,Lewis Capaldi,Pointless,2368,44G9fSM6qI8zRoG6Qwn3eq
39,2023-03-23 19:07,Lewis Capaldi,drivers license - Spotify Singles,103468,10wk4XQdba4QpHgFb28Ktk
40,2023-03-23 19:08,Lewis Capaldi,when the party's over - Recorded at Spotify Studios NYC,69868,6H7fWtwEUHVfTyZD7zeG4w
41,2023-03-23 19:08,Lewis Capaldi,Shallow - BBC Radio 1 Live Lounge,2414,7y2M7zBxC6g8zmkhUvfy7C
42,2023-03-23 19:09,Lewis Capaldi,when the party's over - Recorded at Spotify Studios NYC,80329,6H7fWtwEUHVfTyZD7zeG4w
43,2023-03-23 19:11,Lewis Capaldi,Shallow - BBC Radio 1 Live Lounge,110782,7y2M7zBxC6g8zmkhUvfy7C
44,2023-03-23 19:12,Lewis Capaldi,Headspace,62740,4RtlhOoWNO5ReUwdmTdTcG
45,2023-03-26 17:15,New West,Those Eyes,2602,2psRActEWsTlYYd7EDoyVR
46,2023-03-26 17:16,New West,Those Eyes - Sped Up,2389,6XDBohkvajOwoqr8jHPjzQ
47,2023-03-26 17:19,New West,Those Eyes,220750,2psRActEWsTlYYd7EDoyVR
48,2023-03-26 17:20,Zeph,could you love me while i hate myself,60333,7uo2L5FAja3pWIBa3HJVeC
49,2023-03-26 17:21,New West,Another Direction (Interlude),32142,2ngfM60idir4GySr7dUxB0
