,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,length_in_minutes,time_signature
0,0.38,0.73,A,-10.13,minor,0.04,0.76,0.86,0.14,0.9,118.41,audio_features,7A80n2HvAs1rZNNs64NN8F,2.96,4/4
1,0.78,0.66,A,-7.77,major,0.05,0.43,0.0,0.09,0.97,123.09,audio_features,5z8DiKSG4EwxmO6gUi12rZ,2.67,4/4
2,0.43,0.3,B,-9.72,minor,0.04,0.57,0.0,0.13,0.52,116.44,audio_features,7hkyFS309jQBrwrbxGsJuH,3.5,4/4
3,0.43,0.3,B,-9.72,minor,0.04,0.57,0.0,0.13,0.52,116.44,audio_features,7hkyFS309jQBrwrbxGsJuH,3.5,4/4
4,0.56,0.29,D#/Eb,-8.52,minor,0.05,0.88,0.0,0.12,0.11,140.94,audio_features,54a3QojIm00P4MXL02BZvC,1.89,3/4
5,0.61,0.28,A,-12.05,major,0.12,0.85,0.0,0.11,0.58,122.66,audio_features,1ebslsQcXFPNRBLsa76qEK,3.0,4/4
6,0.14,0.12,C#/Db,-23.39,major,0.06,0.98,0.94,0.1,0.04,70.02,audio_features,41F8XFf9aYq1vCMqyuLNFl,5.6,4/4
7,0.82,0.15,A,-21.95,minor,0.07,0.92,0.92,0.11,0.41,142.15,audio_features,6OzRUo7b23kXFXHWLpigCj,2.03,4/4
8,0.57,0.24,F#/Gb,-17.01,minor,0.03,0.4,0.9,0.12,0.08,80.02,audio_features,61liR3eWrA8BTeUnltA32e,2.45,4/4
9,0.69,0.34,F,-12.3,minor,0.06,0.61,0.6,0.18,0.57,126.24,audio_features,601ppwJ942tjJ9aDPGYwOT,3.17,4/4
10,0.08,0.28,F,-14.42,major,0.04,0.39,0.54,0.12,0.03,174.34,audio_features,6ByYyM1C8sbKOYBsehlc3d,3.61,5/4
11,0.42,0.2,G#/Ab,-19.61,minor,0.03,0.76,0.98,0.11,0.26,136.42,audio_features,2PxElQASC4l0uhkqEwVDWG,3.12,4/4
12,0.14,0.35,A#/Bb,-16.58,minor,0.04,0.1,0.98,0.14,0.04,84.54,audio_features,2KAzdW2iAflGBQ0znH3EMP,4.07,3/4
13,0.65,0.5,F,-14.66,minor,0.04,0.23,0.91,0.11,0.22,160.05,audio_features,0onGfVHIeZtLevNZZWcgnT,2.94,4/4
14,0.52,0.5,F,-17.26,minor,0.04,0.0,0.75,0.46,0.31,100.79,audio_features,4GOEnE8bx725DFTzmuYAuA,3.69,4/4
15,0.59,0.72,G#/Ab,-15.05,minor,0.04,0.0,0.96,0.38,0.11,122.36,audio_features,3WXj5V6DLWlVgYizyCgEyM,2.99,4/4
16,0.77,0.43,G#/Ab,-17.25,major,0.16,0.02,0.97,0.1,0.24,107.38,audio_features,6RO0GOIpYUM8xOR19QCcxj,3.44,4/4
17,0.48,0.41,G#/Ab,-19.84,major,0.05,0.84,0.99,0.16,0.16,116.68,audio_features,7pMvjxeyq0RhJVOifP6sCH,3.64,
18,0.55,0.33,G#/Ab,-16.33,minor,0.03,0.76,0.88,0.13,0.29,80.01,audio_features,2x7TWNe3ZeRLH0h5cDhgC4,2.74,4/4
19,0.56,0.74,D,-12.85,major,0.04,0.0,0.9,0.33,0.05,118.62,audio_features,5DozXHPXhzqx2ZUfR78CRg,2.85,4/4
20,0.56,0.46,F,-16.45,minor,0.04,0.19,0.93,0.1,0.57,80.0,audio_features,5hxuVoQwizvyfuXVKLVJ2A,2.61,4/4
21,0.08,0.31,F#/Gb,-16.32,minor,0.04,0.12,0.99,0.18,0.04,80.58,audio_features,2lCiuHNAFSzr0ZwqnnZRdP,3.41,3/4
22,0.48,0.24,E,-17.9,major,0.03,0.4,0.9,0.11,0.22,80.02,audio_features,6Egyxss7e6K74EBoQfdcgV,2.59,4/4
23,0.55,0.33,G#/Ab,-16.33,minor,0.03,0.76,0.88,0.13,0.29,80.01,audio_features,2x7TWNe3ZeRLH0h5cDhgC4,2.74,4/4
24,0.42,0.45,F,-8.82,major,0.06,0.09,0.0,0.11,0.21,129.77,audio_features,2cAybAa8GqYLhiqgrkrNUp,4.54,5/4
