,artistName,trackName,minutesPlayed,trackId,streamingDate
0,Eudes Alvarez,San Rafael de Mi Pueblo,0.28,7A80n2HvAs1rZNNs64NN8F,2023-03-18
1,Sam Cooke,Another Saturday Night,2.55,5z8DiKSG4EwxmO6gUi12rZ,2023-03-18
3,Soledad Bravo,Violín de becho,0.23,7hkyFS309jQBrwrbxGsJuH,2023-03-19
4,Soledad Bravo,Violín de becho,3.27,7hkyFS309jQBrwrbxGsJuH,2023-03-19
5,Soledad Bravo,Canción para mi américa,1.89,54a3QojIm00P4MXL02BZvC,2023-03-19
6,Soledad Bravo,Pajarillo Verde,0.98,1ebslsQcXFPNRBLsa76qEK,2023-03-19
7,Programming Music,Programming Music for Fast Minds,0.3,41F8XFf9aYq1vCMqyuLNFl,2023-03-21
8,Programming and Coding Jazz,Mellow Moods for Spring Break Getaways,0.13,6OzRUo7b23kXFXHWLpigCj,2023-03-21
9,Programming and Coding Music Club,LoFi Piano Beats for Programming and Coding,0.07,61liR3eWrA8BTeUnltA32e,2023-03-21
10,Programming Jazz,After Work Relaxation,0.07,601ppwJ942tjJ9aDPGYwOT,2023-03-21
11,Programming and Coding Music Club,Cyberpunk Programming Music,3.61,6ByYyM1C8sbKOYBsehlc3d,2023-03-21
12,Programming and Coding Music Club,Coding Life,3.34,2PxElQASC4l0uhkqEwVDWG,2023-03-21
13,Programming and Coding Music Club,Focus on the Task,4.07,2KAzdW2iAflGBQ0znH3EMP,2023-03-21
14,Programming and Coding Music Club,Brain Exercises,3.59,0onGfVHIeZtLevNZZWcgnT,2023-03-21
15,Programming and Coding Music Club,Office Work,3.9,4GOEnE8bx725DFTzmuYAuA,2023-03-21
16,Programming and Coding Music Club,Free Flow,3.86,3WXj5V6DLWlVgYizyCgEyM,2023-03-21
17,Programming and Coding Music Club,A Calm Programmer,3.69,6RO0GOIpYUM8xOR19QCcxj,2023-03-21
18,Programming and Coding Music Club,Slow Music,3.53,7pMvjxeyq0RhJVOifP6sCH,2023-03-21
19,Programming and Coding Music Club,Concentration,4.37,2x7TWNe3ZeRLH0h5cDhgC4,2023-03-21
20,Programming and Coding Music Club,After Work Relaxation,3.49,5DozXHPXhzqx2ZUfR78CRg,2023-03-21
21,Programming and Coding Music Club,Secret Code,3.82,5hxuVoQwizvyfuXVKLVJ2A,2023-03-21
22,Programming and Coding Music Club,Deep State of Relaxation,3.41,2lCiuHNAFSzr0ZwqnnZRdP,2023-03-21
23,Programming and Coding Music Club,Eclipse,4.43,6Egyxss7e6K74EBoQfdcgV,2023-03-21
24,Programming and Coding Music Club,Concentration Music,1.53,2x7TWNe3ZeRLH0h5cDhgC4,2023-03-21
25,James Bay,Scars,0.4,2cAybAa8GqYLhiqgrkrNUp,2023-03-23
26,X Ambassadors,Unsteady,0.14,7lGKEWMXVWWTt3X71Bv44I,2023-03-23
27,Lewis Capaldi,Someone You Loved,2.55,7qEHsqek33rTcFNT9PFqLf,2023-03-23
28,Lewis Capaldi,Before You Go,0.47,2gMXnyrvIjhVBUZwvLZDMP,2023-03-23
29,Justin Bieber,Lonely,2.49,3S8jK1mGzQi24ilFb45DAZ,2023-03-23
30,Olivia Rodrigo,drivers license,1.04,5wANPM4fQCJwkGd4rN57mH,2023-03-23
31,Lewis Capaldi,Before You Go,0.33,2gMXnyrvIjhVBUZwvLZDMP,2023-03-23
32,Lewis Capaldi,Forget Me,0.04,3iHzKA9HlXf5wsGdsrsnSA,2023-03-23
33,Lewis Capaldi,Bruises,3.67,4Of7rzpRpV1mWRbhp5rAqG,2023-03-23
34,Lewis Capaldi,Pointless,1.0,44G9fSM6qI8zRoG6Qwn3eq,2023-03-23
35,Lewis Capaldi,How I'm Feeling Now,0.1,5AGS8VxsLyHQOWz0ZTuwIN,2023-03-23
36,Lewis Capaldi,Hold Me While You Wait,1.18,60iSKGrGazRzICtMjADNSM,2023-03-23
37,Lewis Capaldi,Forget Me,0.03,3iHzKA9HlXf5wsGdsrsnSA,2023-03-23
38,Lewis Capaldi,Pointless,0.04,44G9fSM6qI8zRoG6Qwn3eq,2023-03-23
39,Lewis Capaldi,drivers license - Spotify Singles,1.72,10wk4XQdba4QpHgFb28Ktk,2023-03-23
40,Lewis Capaldi,when the party's over - Recorded at Spotify Studios NYC,1.16,6H7fWtwEUHVfTyZD7zeG4w,2023-03-23
41,Lewis Capaldi,Shallow - BBC Radio 1 Live Lounge,0.04,7y2M7zBxC6g8zmkhUvfy7C,2023-03-23
42,Lewis Capaldi,when the party's over - Recorded at Spotify Studios NYC,1.34,6H7fWtwEUHVfTyZD7zeG4w,2023-03-23
43,Lewis Capaldi,Shallow - BBC Radio 1 Live Lounge,1.85,7y2M7zBxC6g8zmkhUvfy7C,2023-03-23
44,Lewis Capaldi,Headspace,1.05,4RtlhOoWNO5ReUwdmTdTcG,2023-03-23
45,New West,Those Eyes,0.04,2psRActEWsTlYYd7EDoyVR,2023-03-26
46,New West,Those Eyes - Sped Up,0.04,6XDBohkvajOwoqr8jHPjzQ,2023-03-26
47,New West,Those Eyes,3.68,2psRActEWsTlYYd7EDoyVR,2023-03-26
48,Zeph,could you love me while i hate myself,1.01,7uo2L5FAja3pWIBa3HJVeC,2023-03-26
49,New West,Another Direction (Interlude),0.54,2ngfM60idir4GySr7dUxB0,2023-03-26
50,Matt Hartke,London's Song,0.0,1Mk9ou2m6hsEZJYuNRJFpO,2023-03-26
51,Matt Hartke,London's Song,0.1,1Mk9ou2m6hsEZJYuNRJFpO,2023-03-26
52,New West,Those Eyes - Slowed + Reverb,0.11,5nkhJrwTkS2IXKup7z8d0t,2023-03-26
53,New West,Those Eyes,3.68,2psRActEWsTlYYd7EDoyVR,2023-03-26
54,New West,Uneasy,1.73,2mIuMGVqIYZIUvKkai6u05,2023-03-26
55,New West,Uneasy,2.44,2mIuMGVqIYZIUvKkai6u05,2023-03-26
56,New West,Another Direction (Interlude),0.54,2ngfM60idir4GySr7dUxB0,2023-03-26
57,New West,Home,4.03,52lT4DHat5sYRV6iFyQ9uY,2023-03-26
58,New West,Call Me When You Hear This Song,2.97,1UJJMPXC74VpOuggq92Ag8,2023-03-26
59,New West,Those Eyes,3.68,2psRActEWsTlYYd7EDoyVR,2023-03-26
60,New West,Uneasy,4.16,2mIuMGVqIYZIUvKkai6u05,2023-03-26
61,New West,Another Direction (Interlude),0.54,2ngfM60idir4GySr7dUxB0,2023-03-26
62,New West,Home,4.03,52lT4DHat5sYRV6iFyQ9uY,2023-03-26
63,New West,Call Me When You Hear This Song,4.06,1UJJMPXC74VpOuggq92Ag8,2023-03-26
64,New West,Peace of Mind,3.97,3BtAAdjI8C636aAYMoL3gp,2023-03-26
65,National Philarmonic Orchestra of London,La Bandola de Cesáreo / Alma Cumanesa,0.51,0N30LlC6JyRTCIqwSMaBGW,2023-03-27
66,Allen & Bright,Yellow,4.4,3v64j3vihZ9IhEewaUfIqK,2023-03-27
67,Allen & Bright,Better Together,3.54,2f9V1rIwActY4UKBQuxHqq,2023-03-27
68,Allen & Bright,Rainbow,3.39,77fsaToe6geS16GLiwBzlm,2023-03-27
69,Allen & Bright,Waiting on the World to Change,3.14,4DOZYZ45UAwfx6CTuvIF2d,2023-03-27
70,Allen & Bright,Hallelujah,3.48,09gkpMLFgqUxr4i4mmhmtQ,2023-03-27
71,Allen & Bright,Your Body Is a Wonderland,4.04,5WY9zUZLNtH10GXixBuVSc,2023-03-27
72,Allen & Bright,You And Me,3.32,6oqxwrZCyp47aGRqzwGVHH,2023-03-27
73,Allen & Bright,The Sound of Silence,3.2,4ERU0I0Svo0VbajoQROeIk,2023-03-27
74,Allen & Bright,The Story,2.15,7yE6bqI5JCQuWbRgiFtgTo,2023-03-27
75,Allen & Bright,Somewhere Only We Know,3.96,1mvfvDZOybiEgS1ecJxt9W,2023-03-27
76,Allen & Bright,Wonderwall,3.53,0q6tGD4kspB8fbrMOdOzIf,2023-03-27
77,Allen & Bright,Wake Me Up When September Ends,3.14,6xOxjonbwoFS5EvPYXdN9Q,2023-03-29
78,Allen & Bright,You And Me,0.22,6oqxwrZCyp47aGRqzwGVHH,2023-03-29
79,Allen & Bright,Somewhere Only We Know,3.96,1mvfvDZOybiEgS1ecJxt9W,2023-03-29
80,Allen & Bright,Wonderwall,0.41,0q6tGD4kspB8fbrMOdOzIf,2023-03-29
81,Allen & Bright,God Only Knows,2.52,0D8elhshYiDBm21AcYvqMm,2023-03-29
82,Allen & Bright,Yesterday,2.67,5JZwQs0sbiVdF4TiFkB7pR,2023-03-29
83,Allen & Bright,Rainbow Connection,2.98,1MHV0T6VdpPQaoC06osqCD,2023-03-29
84,David Lanz,Cristofori's Dream,6.08,7lfkVL8Ej1WUK8ZVRESoU9,2023-03-29
85,Michele McLaughlin,A Celtic Dream,1.72,13oSykCrgLvc2K2Cy4bM1E,2023-03-29
86,Kostia,First Touch,2.4,6y02PXQfwG9mwQnhKemWOs,2023-03-29
87,Deuter,Lovesong from the Mountains,7.98,3MJd5S8ZIUp19dVvKxgNoe,2023-03-29
88,Allen & Bright,Gravity,2.51,3HjSAJY3gpvjxWrelVSvtn,2023-03-29
89,Michael Jones,Shadows Of The Moon,3.92,6nV5rzrOKzPjQsWDgx2CYF,2023-03-29
90,ØYSTEIN SEVÅG,Spiral,1.18,6InSwmOIPTcANZdgYQKULu,2023-03-29
91,George Skaroulis,Keep the Faith,3.09,0Zs9vNPEhKE7GbyvuCpcab,2023-03-29
92,Michele McLaughlin,Perseverance,2.04,5OCjo8Jflrl4RRN5oL6fWf,2023-03-29
93,Bliss,A Last Meeting,2.34,4nwzCgIucw9rTMwJJTAax2,2023-03-29
94,David Lanz,Before The Last Leaf Falls,3.48,6fC9pgvlU7dE4Q54UrVFk5,2023-03-29
95,Michael Gettel,Winter,3.47,6AFz1DmpO2F9Bwotq8zvYK,2023-03-29
96,Ray Lynch,Falling In The Garden / Ray Lynch,2.78,4QjTZFWB9ZXMtaoyqZrrix,2023-03-29
97,Pat Metheny Group,Letter From Home,2.56,6zB7STorHw7VOrSoxpzW9F,2023-03-29
98,Michele McLaughlin,Perseverance,2.04,5OCjo8Jflrl4RRN5oL6fWf,2023-03-29
99,Jon Dahlander,First Gymnopedie,3.02,3tMQiHMzHb9gA1am0UkIda,2023-03-29
100,Yanni,One Man's Dream,2.71,53Lfqp8F0KCInwcFjabMJB,2023-03-29
101,Michael Jones,Shadows Of The Moon,3.92,6nV5rzrOKzPjQsWDgx2CYF,2023-03-29
102,Ray Lynch,Falling In The Garden / Ray Lynch,2.78,4QjTZFWB9ZXMtaoyqZrrix,2023-03-29
103,Pat Metheny Group,Letter From Home,2.56,6zB7STorHw7VOrSoxpzW9F,2023-03-29
104,Tim Neumark,Twilight,4.12,3WDc1kYsfyyWgCVkZT4JlQ,2023-03-29
105,Yanni,One Man's Dream,2.72,53Lfqp8F0KCInwcFjabMJB,2023-03-29
106,Ray Lynch,Falling In The Garden / Ray Lynch,2.78,4QjTZFWB9ZXMtaoyqZrrix,2023-03-29
107,Pat Metheny Group,Letter From Home,2.56,6zB7STorHw7VOrSoxpzW9F,2023-03-29
108,Michele McLaughlin,Stargazing,3.02,1kopTRGHzXzctvGOwnlfm6,2023-03-29
109,Jon Dahlander,First Gymnopedie,3.02,3tMQiHMzHb9gA1am0UkIda,2023-03-29
110,Michael Jones,Rainfall,5.34,7mil5nzqrkyw0Wl5QYzGu1,2023-03-29
111,Wayne Gratz,A Time For Us,3.89,0A4h05JkKafvFq9bGe6phn,2023-03-29
112,Mike Strickland,Watermark,2.38,7kynktYUmT8cSSDSQh7IQu,2023-03-29
113,Gabrielle Aapri,Weeping Willow,2.96,0mGvkCDPf4ICow5CQMbHqG,2023-03-29
114,Michele McLaughlin,New Light,2.29,0j8UjTsKy3SzlN4p9p3AU5,2023-03-29
115,PHILDEL,The Kiss,2.78,2s5S7q4Xz17of4KzC2gmd7,2023-03-29
116,Keiko Matsui,"Forever, Forever",4.35,0PJ9z4tefkfgtqYrFCmj6x,2023-03-29
117,Michael Jones,After The Rain - Part 3,3.03,2TVIY0TNXhmqJT58klcYyh,2023-03-29
118,Rachel Currea,"I Found You, You Found Me",2.76,4rAkJVeQGeIS9YKsh5sBwI,2023-03-29
119,Gary Girouard,Siena,3.12,6KXoLGqKQqT43JjFhL6nX8,2023-03-29
120,Michele McLaughlin,The Eternal City,2.94,4tTTW3DQboCekZGI8biPK1,2023-03-29
121,Eric Tingstad,Shadow Dancer,3.7,79n5AT5US7TDJaymLZeJBQ,2023-03-29
122,Wayne Gratz,Wave Across The Wheat Field,2.27,5Dmmw2HQaqjctbFYZfLC8z,2023-03-29
123,Friedemann,In The Court Of The Mermaid,4.46,7ncysISwXB99axlmMknRLH,2023-03-29
124,Thad Fiscella,Surrey Hills,2.46,3r5JjxXM70IyWe8XFRJ1XW,2023-03-29
125,David Lanz,Norwegian Rain,3.73,5cvtsq6zS8MHQG5MMLH1x0,2023-03-29
126,Michele McLaughlin,For The Lambs,3.08,7ogLOvBoekN06bobVwRunh,2023-03-29
127,Michael Jones,Sunshine Canyon,4.55,4ADEPy8QtNpNQMh1OLR0H5,2023-03-29
129,Enya,A Day Without Rain,2.61,0y6DSMwFO6cLKN1XB85cGV,2023-03-29
130,Rachel Currea,Announcement of War,2.69,0P7SM5HE6Pg5T8jhlBC71v,2023-03-29
131,Robin Spielberg,The Orange Fox Waits,3.09,1aTcDNvEBoqWN9FxuoBhfB,2023-03-29
132,Michele McLaughlin,Out of the Darkness,4.01,0jgHjKLA0l0S8fv2Hd3sEc,2023-03-29
133,Karen Marie Garrett,Moon Night,3.74,46Dfn4uabMnaFJklqbG1zd,2023-03-29
135,Wayne Gratz,The Green Room,4.38,1YDchzoNk8pD86S6Si5ruE,2023-03-29
136,Bernward Koch,Touched by Love,3.38,2GUUejFnTxI0yEZR1afTC4,2023-03-29
137,Philip Aaberg,Montana Half-Light,3.75,5JOxUhnc9FjD6oOlIwhFL9,2023-03-29
138,Michele McLaughlin,The Descent,4.8,5xJOh327HCpS71cAmbr9Rk,2023-03-29
139,ØYSTEIN SEVÅG,Rio Amazonas,3.1,7BVwmVaThUZvMDt9aG1Kup,2023-03-29
140,Paul Speer,Rain Forest,4.3,6FZfxmeVhsdqkD8WJfP83n,2023-03-29
141,David Lanz,Wings To Altair - Remastered,6.28,0j1zT31x3toBbvmTLk8spF,2023-03-29
142,Ola Gjeilo,Madison,3.01,6bq8VAGmvWxpIjtYXjxofC,2023-03-29
