,date,cloud_coverage,humidity,precipitation_total,min_temperature,max_temperature,barometric_pressure,wind_max_speed,wind_direction
0,2023-03-18,0.0,25.0,0.0,27.05,49.37,1026.0,6.71,168.0
1,2023-03-19,0.0,26.0,0.33,34.05,53.2,1017.0,10.8,180.0
2,2023-03-20,0.0,74.0,9.65,34.27,46.89,1006.0,14.92,300.0
3,2023-03-21,0.0,71.0,2.04,30.38,48.13,1008.0,5.66,160.0
4,2023-03-22,100.0,69.0,2.24,36.86,41.88,1003.0,11.83,180.0
5,2023-03-23,75.0,83.0,3.46,34.86,41.88,1018.0,6.69,160.0
6,2023-03-24,100.0,90.0,13.2,28.51,35.47,1016.0,11.83,290.0
7,2023-03-25,100.0,49.0,3.97,24.96,34.16,1020.0,10.8,260.0
8,2023-03-26,100.0,76.0,7.47,21.83,33.26,1020.0,10.29,320.0
9,2023-03-27,100.0,73.0,4.3,25.47,37.63,1030.0,5.66,240.0
10,2023-03-28,0.0,33.0,0.0,27.05,53.58,1019.0,12.35,170.0
11,2023-03-29,100.0,35.0,2.89,36.07,56.71,1006.0,13.89,150.0
12,2023-03-30,100.0,91.0,13.45,33.44,39.7,1004.0,7.2,30.0
13,2023-03-31,100.0,73.0,7.66,32.9,45.46,1020.0,4.63,280.0
14,2023-04-01,75.0,41.0,0.0,35.82,57.81,1017.0,12.35,170.0
15,2023-04-02,100.0,67.0,5.05,38.32,49.06,1011.0,7.72,320.0
16,2023-04-03,100.0,88.0,18.26,28.13,37.44,1001.0,12.35,330.0
17,2023-04-04,100.0,87.0,17.79,25.38,32.14,1009.0,9.26,350.0
18,2023-04-05,98.0,68.0,9.57,25.43,37.02,1023.0,4.63,130.0
19,2023-04-06,0.0,47.0,0.0,20.98,44.42,1025.0,6.17,140.0
20,2023-04-07,0.0,36.0,0.0,29.25,57.9,1019.0,9.26,170.0
21,2023-04-08,0.0,38.0,0.0,41.34,60.33,1019.0,6.17,310.0
22,2023-04-09,0.0,42.0,0.0,41.18,65.46,1025.0,4.63,360.0
23,2023-04-10,0.0,35.0,0.0,45.93,74.68,1023.0,8.23,150.0
24,2023-04-11,0.0,20.0,0.0,53.33,80.06,1013.0,9.26,180.0
25,2023-04-12,0.0,22.0,0.0,58.84,73.56,1002.0,13.89,180.0
26,2023-04-13,100.0,91.0,3.16,34.95,55.15,1007.0,11.83,360.0
27,2023-04-14,100.0,41.0,0.0,30.22,46.76,1012.0,6.69,310.0
28,2023-04-15,0.0,30.0,0.0,33.39,57.74,1025.0,4.63,360.0
29,2023-04-16,0.0,23.0,0.0,42.21,70.3,1019.0,9.26,160.0
30,2023-04-17,0.0,21.0,0.0,49.91,70.65,1006.0,11.83,330.0
31,2023-04-18,100.0,62.0,0.27,38.53,53.13,1001.0,17.49,310.0
32,2023-04-19,40.0,36.0,0.0,32.81,45.32,1018.0,8.75,310.0
33,2023-04-20,40.0,38.0,0.26,32.5,45.57,1026.0,8.75,290.0
34,2023-04-21,100.0,36.0,1.77,35.73,50.32,1023.0,8.23,10.0
35,2023-04-22,100.0,58.0,0.0,39.92,49.14,1021.0,5.36,350.0
36,2023-04-23,0.0,40.0,0.0,35.11,60.03,1015.0,6.17,20.0
37,2023-04-24,75.0,50.0,0.36,45.03,59.13,1009.0,6.69,150.0
38,2023-04-25,75.0,68.0,2.45,36.5,48.4,1016.0,11.32,330.0
39,2023-04-26,0.0,51.0,0.0,37.04,62.56,1022.0,5.14,320.0
40,2023-04-27,75.0,32.0,0.0,43.99,69.12,1016.0,8.23,310.0
41,2023-04-28,0.0,26.0,0.0,44.22,68.05,1022.0,5.66,300.0
42,2023-04-29,0.0,23.0,0.0,48.51,77.68,1020.0,5.14,150.0
43,2023-04-30,0.0,21.0,0.0,55.29,83.12,1010.0,7.2,150.0
44,2023-05-01,0.0,16.0,0.0,59.81,83.55,1002.0,10.8,150.0
45,2023-05-02,75.0,22.0,0.0,59.43,77.7,1004.0,8.49,174.0
46,2023-05-03,0.0,18.0,0.0,53.55,78.53,1008.0,8.23,280.0
47,2023-05-04,0.0,26.0,1.41,47.37,69.26,1003.0,12.35,110.0
48,2023-05-05,75.0,40.0,0.0,47.01,59.72,1010.0,10.29,200.0
49,2023-05-06,40.0,40.0,1.5,42.57,58.89,1013.0,12.07,186.0
